"","X","Transect_Site","WD","logFruitLength","logFruitWidth","logSeedLength","logSeedWidth","logSugar","logFat","logProtein","logNitrogen","logTannins","logSLA","Species","Predicted","tpi","roughness","slope","aspect","flowdir","lat","long","Site"
"73",73,"Maharira_B",0.597539130077454,2.85970551425943,2.66810811731862,2.38877964252288,1.98583301893601,2.08491503859267,1.55518803873933,4.25431547618862,0.765537181170142,0.191367158626692,2.21343769670673,"Hapalemur_griseus",1.13182999,68.875,214,2.830472289,64.3091396,1,-21.333,47.411,"Maharira"
"74",74,"Maharira_C",0.571841024000836,2.83015129885172,2.68732746125804,2.33523525230112,2.01860706753241,2.18242385597542,1.58941676392877,4.04970915032475,0.743686754144931,0.187380214983407,2.33211650432217,"Microcebus_rufus",2.845898957,66.75,214,4.961767564,101.5373843,1,-21.337,47.409,"Maharira"
"75",75,"Maharira_C",0.571841024000836,2.83015129885172,2.68732746125804,2.33523525230112,2.01860706753241,2.18242385597542,1.58941676392877,4.04970915032475,0.743686754144931,0.187380214983407,2.33211650432217,"Eulemur_rubriventer",2.461460582,66.75,214,4.961767564,101.5373843,1,-21.337,47.409,"Maharira"
"76",76,"Maharira_C",0.571841024000836,2.83015129885172,2.68732746125804,2.33523525230112,2.01860706753241,2.18242385597542,1.58941676392877,4.04970915032475,0.743686754144931,0.187380214983407,2.33211650432217,"Avahi_laniger",0.434894369,66.75,214,4.961767564,101.5373843,1,-21.337,47.409,"Maharira"
"77",77,"Maharira_C",0.571841024000836,2.83015129885172,2.68732746125804,2.33523525230112,2.01860706753241,2.18242385597542,1.58941676392877,4.04970915032475,0.743686754144931,0.187380214983407,2.33211650432217,"Lepilemur_microdon",0.46872808,66.75,214,4.961767564,101.5373843,1,-21.337,47.409,"Maharira"
"78",78,"Maharira_C",0.571841024000836,2.83015129885172,2.68732746125804,2.33523525230112,2.01860706753241,2.18242385597542,1.58941676392877,4.04970915032475,0.743686754144931,0.187380214983407,2.33211650432217,"Hapalemur_griseus",1.130736425,66.75,214,4.961767564,101.5373843,1,-21.337,47.409,"Maharira"
"79",79,"Maharira_C",0.571841024000836,2.83015129885172,2.68732746125804,2.33523525230112,2.01860706753241,2.18242385597542,1.58941676392877,4.04970915032475,0.743686754144931,0.187380214983407,2.33211650432217,"Propithecus_edwardsi",2.3768553,66.75,214,4.961767564,101.5373843,1,-21.337,47.409,"Maharira"
"80",80,"Maharira_C",0.571841024000836,2.83015129885172,2.68732746125804,2.33523525230112,2.01860706753241,2.18242385597542,1.58941676392877,4.04970915032475,0.743686754144931,0.187380214983407,2.33211650432217,"Eulemur_rufifrons",0.213852566,66.75,214,4.961767564,101.5373843,1,-21.337,47.409,"Maharira"
"81",81,"Maharira_C",0.571841024000836,2.83015129885172,2.68732746125804,2.33523525230112,2.01860706753241,2.18242385597542,1.58941676392877,4.04970915032475,0.743686754144931,0.187380214983407,2.33211650432217,"Cheirogaleus_crossleyi",0.488343258,66.75,214,4.961767564,101.5373843,1,-21.337,47.409,"Maharira"
"82",82,"Maharira_C",0.571841024000836,2.83015129885172,2.68732746125804,2.33523525230112,2.01860706753241,2.18242385597542,1.58941676392877,4.04970915032475,0.743686754144931,0.187380214983407,2.33211650432217,"Varecia_variegata",0.079532446,66.75,214,4.961767564,101.5373843,1,-21.337,47.409,"Maharira"
"83",83,"Miaranony_A",0.56462867105498,2.88189418034861,2.64007659568234,2.19001247700338,1.89500918967275,2.50216473341076,1.67769798094759,3.31701196580983,0.87892348533425,0.0979964009033589,2.46794733700124,"Lepilemur_microdon",0.062694759,-206.75,449,6.776096958,190.5809745,2,-21.166,47.54,"Miaranony"
"84",84,"Miaranony_A",0.56462867105498,2.88189418034861,2.64007659568234,2.19001247700338,1.89500918967275,2.50216473341076,1.67769798094759,3.31701196580983,0.87892348533425,0.0979964009033589,2.46794733700124,"Propithecus_edwardsi",3.086577561,-206.75,449,6.776096958,190.5809745,2,-21.166,47.54,"Miaranony"
"85",85,"Miaranony_A",0.56462867105498,2.88189418034861,2.64007659568234,2.19001247700338,1.89500918967275,2.50216473341076,1.67769798094759,3.31701196580983,0.87892348533425,0.0979964009033589,2.46794733700124,"Eulemur_rubriventer",1.825517591,-206.75,449,6.776096958,190.5809745,2,-21.166,47.54,"Miaranony"
"86",86,"Miaranony_A",0.56462867105498,2.88189418034861,2.64007659568234,2.19001247700338,1.89500918967275,2.50216473341076,1.67769798094759,3.31701196580983,0.87892348533425,0.0979964009033589,2.46794733700124,"Varecia_variegata",7.367213817,-206.75,449,6.776096958,190.5809745,2,-21.166,47.54,"Miaranony"
"87",87,"Miaranony_A",0.56462867105498,2.88189418034861,2.64007659568234,2.19001247700338,1.89500918967275,2.50216473341076,1.67769798094759,3.31701196580983,0.87892348533425,0.0979964009033589,2.46794733700124,"Cheirogaleus_crossleyi",2.019520026,-206.75,449,6.776096958,190.5809745,2,-21.166,47.54,"Miaranony"
"88",88,"Miaranony_A",0.56462867105498,2.88189418034861,2.64007659568234,2.19001247700338,1.89500918967275,2.50216473341076,1.67769798094759,3.31701196580983,0.87892348533425,0.0979964009033589,2.46794733700124,"Eulemur_rufifrons",14.75074567,-206.75,449,6.776096958,190.5809745,2,-21.166,47.54,"Miaranony"
"89",89,"Miaranony_A",0.56462867105498,2.88189418034861,2.64007659568234,2.19001247700338,1.89500918967275,2.50216473341076,1.67769798094759,3.31701196580983,0.87892348533425,0.0979964009033589,2.46794733700124,"Microcebus_rufus",2.421677525,-206.75,449,6.776096958,190.5809745,2,-21.166,47.54,"Miaranony"
